Date,Open,High,Low,Close,Volume
2019-09-23 05:05:00,1.10229,1.10218,1.10229,1.10215,173
2019-09-23 05:10:00,1.10218,1.10214,1.10219,1.10211,72
2019-09-23 05:15:00,1.10214,1.10214,1.10215,1.10209,58
2019-09-23 05:20:00,1.10214,1.10214,1.10215,1.10213,27
2019-09-23 05:25:00,1.10214,1.10213,1.10219,1.10213,152
2019-09-23 05:30:00,1.10213,1.1021,1.10214,1.10204,149
2019-09-23 05:35:00,1.1021,1.10209,1.10217,1.10204,203
2019-09-23 05:40:00,1.10209,1.10204,1.10211,1.10197,236
2019-09-23 05:45:00,1.10204,1.10208,1.10214,1.10203,259
2019-09-23 05:50:00,1.10208,1.10224,1.10227,1.10196,357
2019-09-23 05:55:00,1.10224,1.10231,1.10239,1.10224,243
2019-09-23 06:00:00,1.10231,1.10235,1.10249,1.10231,620
2019-09-23 06:05:00,1.10235,1.10236,1.10242,1.10222,425
2019-09-23 06:10:00,1.10236,1.10226,1.10241,1.10222,746
2019-09-23 06:15:00,1.10226,1.10232,1.10241,1.10226,270
2019-09-23 06:20:00,1.10232,1.10223,1.10236,1.10212,552
2019-09-23 06:25:00,1.10223,1.10226,1.1023,1.10213,656
2019-09-23 06:30:00,1.10226,1.10192,1.10228,1.10192,756
2019-09-23 06:35:00,1.10192,1.10191,1.10196,1.10167,850
2019-09-23 06:40:00,1.10191,1.10189,1.10192,1.10176,447
2019-09-23 06:45:00,1.10189,1.10187,1.10192,1.10183,319
2019-09-23 06:50:00,1.10187,1.10139,1.10187,1.10126,1230
2019-09-23 06:55:00,1.10139,1.10143,1.10158,1.10135,1160
2019-09-23 07:00:00,1.10143,1.1012,1.10167,1.1012,2196
2019-09-23 07:05:00,1.1012,1.10087,1.10126,1.10076,1757
2019-09-23 07:10:00,1.10087,1.10083,1.10109,1.10006,1987
2019-09-23 07:15:00,1.10083,1.10057,1.10084,1.09999,2754
2019-09-23 07:20:00,1.10057,1.10047,1.10068,1.10025,1634
2019-09-23 07:25:00,1.10047,1.10014,1.10071,1.09972,1301
2019-09-23 07:30:00,1.10014,1.09789,1.10007,1.09728,8855
2019-09-23 07:35:00,1.09789,1.09723,1.09804,1.097,3506
2019-09-23 07:40:00,1.09723,1.09678,1.09751,1.09656,3422
2019-09-23 07:45:00,1.09678,1.09719,1.0972,1.09659,2112
2019-09-23 07:50:00,1.09719,1.09719,1.09723,1.097,1288
2019-09-23 07:55:00,1.09719,1.09688,1.09721,1.0968,1261
2019-09-23 08:00:00,1.09688,1.09742,1.09758,1.09687,1362
2019-09-23 08:05:00,1.09742,1.09801,1.09803,1.09725,1416
2019-09-23 08:10:00,1.09801,1.09798,1.09813,1.09781,1162
2019-09-23 08:15:00,1.09798,1.09774,1.098,1.09757,1364
2019-09-23 08:20:00,1.09774,1.09789,1.09792,1.09757,1098
2019-09-23 08:25:00,1.09789,1.098,1.09804,1.09782,993
2019-09-23 08:30:00,1.098,1.09788,1.09813,1.09778,955
2019-09-23 08:35:00,1.09788,1.0978,1.098,1.09748,1122
2019-09-23 08:40:00,1.0978,1.09778,1.09789,1.09764,1123
2019-09-23 08:45:00,1.09778,1.09737,1.09778,1.09728,1492
2019-09-23 08:50:00,1.09737,1.09777,1.09797,1.09718,1740
2019-09-23 08:55:00,1.09777,1.0977,1.09782,1.09758,1229
2019-09-23 09:00:00,1.0977,1.09747,1.09779,1.09745,1155
2019-09-23 09:05:00,1.09747,1.09737,1.09756,1.09732,1236
2019-09-23 09:10:00,1.09737,1.09702,1.09747,1.09697,1303
2019-09-23 09:15:00,1.09702,1.09703,1.09703,1.09682,1041
2019-09-23 09:20:00,1.09703,1.09691,1.09729,1.09682,1057
2019-09-23 09:25:00,1.09691,1.09666,1.09717,1.09664,978
2019-09-23 09:30:00,1.09666,1.09708,1.09708,1.09659,1038
2019-09-23 09:35:00,1.09708,1.09721,1.09727,1.097,783
2019-09-23 09:40:00,1.09721,1.09783,1.09788,1.09716,1106
2019-09-23 09:45:00,1.09783,1.09788,1.09804,1.0977,1008
2019-09-23 09:50:00,1.09788,1.09815,1.09832,1.09785,1120
2019-09-23 09:55:00,1.09815,1.09815,1.09828,1.09787,946
2019-09-23 10:00:00,1.09815,1.09818,1.09824,1.09782,1068
2019-09-23 10:05:00,1.09818,1.0982,1.09834,1.09804,1349
2019-09-23 10:10:00,1.0982,1.09803,1.09824,1.09788,1011
2019-09-23 10:15:00,1.09803,1.09819,1.09831,1.09797,631
2019-09-23 10:20:00,1.09819,1.09799,1.09829,1.09791,875
2019-09-23 10:25:00,1.09799,1.0983,1.0983,1.0979,842
2019-09-23 10:30:00,1.0983,1.09845,1.09861,1.09829,837
2019-09-23 10:35:00,1.09845,1.09864,1.09876,1.09844,792
2019-09-23 10:40:00,1.09864,1.09879,1.09883,1.09856,584
2019-09-23 10:45:00,1.09879,1.09864,1.09881,1.09855,611
2019-09-23 10:50:00,1.09864,1.0987,1.09884,1.09857,916
2019-09-23 10:55:00,1.0987,1.09837,1.09875,1.09836,716
2019-09-23 11:00:00,1.09837,1.098,1.09839,1.09796,1012
2019-09-23 11:05:00,1.098,1.09772,1.09801,1.09766,732
2019-09-23 11:10:00,1.09772,1.09767,1.09778,1.09755,903
2019-09-23 11:15:00,1.09767,1.09792,1.09796,1.09758,629
2019-09-23 11:20:00,1.09792,1.09813,1.09814,1.09776,822
2019-09-23 11:25:00,1.09813,1.09813,1.09822,1.09804,571
2019-09-23 11:30:00,1.09813,1.09838,1.09842,1.09808,470
2019-09-23 11:35:00,1.09838,1.09841,1.0985,1.09822,601
2019-09-23 11:40:00,1.09841,1.09858,1.09858,1.09822,610
2019-09-23 11:45:00,1.09858,1.09848,1.0986,1.09844,479
2019-09-23 11:50:00,1.09848,1.09837,1.09851,1.09835,418
2019-09-23 11:55:00,1.09837,1.09842,1.09864,1.09809,955
2019-09-23 12:00:00,1.09842,1.09825,1.09846,1.09821,775
2019-09-23 12:05:00,1.09825,1.09844,1.0985,1.09822,522
2019-09-23 12:10:00,1.09844,1.0984,1.09857,1.09836,455
2019-09-23 12:15:00,1.0984,1.09885,1.0989,1.09841,740
2019-09-23 12:20:00,1.09885,1.09942,1.09953,1.09873,1555
2019-09-23 12:25:00,1.09942,1.09936,1.09949,1.09909,1098
2019-09-23 12:30:00,1.09936,1.09926,1.09946,1.09911,976
2019-09-23 12:35:00,1.09926,1.09929,1.09942,1.09917,801
2019-09-23 12:40:00,1.09929,1.09903,1.09933,1.09901,656
2019-09-23 12:45:00,1.09903,1.0989,1.09906,1.09879,709
2019-09-23 12:50:00,1.0989,1.09871,1.09905,1.09868,561
2019-09-23 12:55:00,1.09871,1.09859,1.09895,1.09857,825
2019-09-23 13:00:00,1.09859,1.09903,1.09903,1.0986,1386
2019-09-23 13:05:00,1.09903,1.0991,1.09922,1.09872,1060
2019-09-23 13:10:00,1.0991,1.09849,1.09919,1.09848,902
2019-09-23 13:15:00,1.09849,1.0983,1.09864,1.09825,901
2019-09-23 13:20:00,1.0983,1.09811,1.09836,1.0981,1012
2019-09-23 13:25:00,1.09811,1.09824,1.09833,1.09791,1154
